mac_1,mac_2,mac_3,mac_4,mac_5,mac_6,mac_7,mac_8,mac_9
103.48,229.02,509.71,114.69,113.23,104.06,103.14,582.13,108.48
109.08,218.91,831.17,113.88,113.61,105.50,104.55,1158.06,105.38
105.39,219.77,508.37,113.19,112.93,110.85,105.42,866.17,109.52
103.85,220.06,501.93,113.16,112.97,104.71,104.66,582.17,106.21
108.06,227.88,514.46,114.42,118.79,338.12,108.66,1051.77,108.65
103.59,222.68,506.11,122.53,112.31,105.64,106.64,576.70,106.75
109.87,219.11,510.54,115.90,115.50,105.44,105.43,661.71,109.74
121.32,221.41,511.33,116.48,334.53,104.47,104.46,678.64,108.30
154.46,221.22,515.21,116.46,112.92,104.62,104.30,663.92,110.18
153.50,229.19,514.47,115.52,112.75,104.03,103.94,926.54,109.14
121.38,222.19,664.22,114.82,111.51,103.81,105.43,619.87,109.33
104.42,227.78,507.70,115.21,113.41,108.77,104.50,760.55,105.72
104.56,221.19,542.01,118.51,112.22,106.25,105.16,651.22,105.06
104.01,446.16,543.97,347.75,112.07,103.78,103.48,656.00,109.36
104.79,229.06,551.17,122.56,117.00,104.54,343.93,606.67,105.53
104.83,221.70,548.34,112.94,112.16,105.06,104.57,589.13,109.52
113.65,217.51,543.53,112.28,111.60,105.12,103.34,1096.49,105.40
104.53,223.46,554.59,112.47,111.84,104.41,103.97,1299.80,108.69
103.59,219.46,543.19,111.95,351.65,103.90,104.29,700.52,111.83
103.43,219.05,550.68,112.65,130.03,104.37,104.07,711.51,108.53
108.35,219.52,545.52,117.72,125.38,104.99,103.23,2535.85,106.53
104.83,226.27,563.78,114.11,117.36,109.72,108.72,1823.40,108.70
103.98,219.96,557.40,113.68,113.85,105.04,104.29,640.45,102.90
103.88,220.91,742.87,113.20,115.51,104.84,102.90,629.67,105.86
106.31,220.89,556.25,113.12,114.64,103.83,103.72,1474.82,102.42
112.95,219.01,552.75,112.95,114.89,106.54,103.24,1088.42,102.63
106.57,227.80,555.98,117.73,114.17,104.18,105.60,1022.29,105.74
105.99,221.17,552.69,112.44,113.31,105.76,103.83,1197.73,205.35
106.25,221.04,564.87,116.03,113.34,105.25,104.59,777.07,106.98
104.47,221.89,726.16,117.36,119.50,104.15,103.31,743.16,102.85
104.71,248.83,558.20,113.14,113.74,109.49,110.24,707.74,103.42
109.97,401.68,554.60,117.96,113.35,104.45,103.97,1317.19,103.43
102.91,221.91,780.52,115.41,113.83,105.67,104.36,636.76,98.13
109.46,219.41,551.24,117.71,113.73,103.47,104.06,2436.54,96.58
115.00,226.33,560.81,114.55,113.33,105.57,104.17,644.68,95.41
117.07,219.55,552.80,117.58,112.86,104.30,103.99,658.71,96.30
103.48,233.13,830.23,114.98,117.78,105.26,105.32,1051.37,99.06
107.95,234.53,557.14,122.45,110.83,107.43,103.88,1154.42,96.48
103.28,235.44,550.69,115.14,352.54,103.21,105.52,1076.40,97.19
108.10,222.47,546.59,116.93,113.66,597.78,103.21,858.51,95.53
103.28,219.57,541.81,114.01,112.82,159.63,111.56,605.19,95.91
107.29,221.37,543.86,116.68,112.12,106.84,108.10,1471.91,95.78
102.94,219.43,541.27,114.02,111.93,104.55,105.53,588.53,94.95
103.45,233.80,689.73,114.74,113.40,105.70,107.13,691.40,94.97
119.76,221.75,546.05,122.41,115.84,112.29,105.27,1337.69,97.11
103.23,221.87,538.47,112.82,112.86,105.80,105.06,1007.49,95.86
106.50,222.05,538.81,345.10,114.58,104.36,106.70,970.46,97.09
103.74,453.89,537.03,116.35,113.40,104.07,107.52,720.04,98.79
105.38,224.71,540.99,112.01,113.79,104.58,109.81,729.80,97.81
103.21,214.60,542.64,113.37,112.40,106.36,355.64,681.02,94.18
107.56,213.77,675.18,112.84,112.68,104.97,110.68,724.98,96.82
103.66,221.70,538.95,112.96,113.37,103.77,103.65,656.13,95.23
105.80,216.47,516.78,112.90,112.72,103.97,103.60,1040.90,99.64
109.28,217.32,511.29,117.19,117.32,109.82,104.07,1114.09,96.87
108.44,215.87,538.11,115.06,112.02,104.21,103.23,699.00,99.61
103.74,221.15,546.61,112.31,112.46,105.72,103.63,564.52,97.82
103.13,216.03,544.44,112.40,112.98,104.60,109.52,1139.88,97.97
107.75,215.12,681.20,113.39,113.96,105.16,105.25,729.25,104.73
102.57,215.75,538.37,112.69,112.41,104.91,105.27,662.14,94.98
107.08,214.29,542.58,113.44,111.40,103.96,104.68,601.52,98.46
103.27,225.99,537.64,114.13,113.92,104.47,104.75,702.92,94.92
107.38,216.42,540.44,112.35,111.95,104.59,105.72,694.87,98.07
103.78,216.62,543.41,118.31,116.67,105.58,341.10,627.66,94.80
115.48,216.76,537.86,113.26,115.53,111.03,115.04,659.27,98.43
103.41,226.41,685.08,113.91,112.54,106.26,118.22,825.44,94.52
107.96,730.88,539.55,112.24,118.61,104.03,106.51,717.87,97.77
104.79,269.95,542.67,112.87,110.61,103.18,105.32,670.32,94.93
108.23,232.92,538.38,112.49,113.22,106.32,105.01,2133.30,232.66
105.29,217.52,537.48,112.83,115.15,112.25,104.95,620.09,97.85
103.64,218.85,532.92,112.49,110.58,102.44,104.66,605.39,94.39
110.19,218.09,537.50,119.05,115.70,102.05,105.70,1354.57,95.82
103.49,223.24,540.06,114.35,351.28,106.30,105.77,830.16,95.26
117.87,217.61,712.01,116.02,113.98,344.73,106.14,710.18,94.32
102.94,215.04,512.92,116.47,113.55,111.74,113.19,992.40,94.89
109.66,215.03,514.35,116.35,111.57,104.16,108.66,889.21,95.09
104.56,218.36,523.74,115.80,111.82,105.29,109.82,650.41,95.33
109.38,228.76,505.29,114.96,113.36,105.14,106.89,1013.86,98.04
102.93,221.46,656.70,114.78,117.23,103.64,106.18,1234.13,97.82
117.31,221.70,501.33,115.30,113.32,103.93,105.28,1058.31,94.90
103.13,221.58,503.76,319.01,113.24,109.13,105.07,1291.10,96.28
109.76,412.09,501.74,118.41,112.53,104.76,107.03,699.04,94.56
848.55,221.18,504.57,112.70,111.84,104.49,106.02,609.60,96.50
132.57,214.56,502.18,112.40,112.75,105.64,358.03,681.50,94.21
113.13,215.78,507.96,112.42,112.00,104.45,111.33,691.56,96.91
105.46,223.01,503.86,112.30,112.79,103.53,105.78,789.92,94.25
104.53,216.89,512.78,111.77,112.49,104.99,105.05,1540.44,95.29
104.57,214.33,507.17,118.66,119.13,102.77,103.96,564.89,96.91
103.33,214.58,508.92,113.13,111.98,105.69,102.91,589.92,98.06
104.72,222.56,506.87,112.10,111.40,105.19,103.22,908.54,98.85
105.33,215.70,504.83,114.71,113.26,109.56,108.70,665.53,95.55
104.51,223.35,509.46,113.55,114.36,105.93,104.68,876.80,98.11
105.25,217.12,507.61,113.38,113.00,104.33,103.92,1484.65,96.72
105.09,217.16,672.07,111.62,113.84,103.82,103.84,661.30,97.80
113.33,221.43,539.87,113.00,111.78,104.77,104.17,715.54,96.45
106.40,219.51,539.93,114.06,112.62,104.85,104.94,809.92,97.95
104.61,218.69,532.88,119.23,118.00,104.52,104.56,609.77,97.00
104.39,216.86,536.30,113.73,113.54,104.81,104.64,613.39,98.01
105.51,216.05,535.63,113.74,112.87,103.71,103.91,640.83,98.32
104.34,461.17,536.62,116.17,112.46,108.37,104.18,855.05,96.43
104.85,218.25,537.38,113.14,112.01,106.97,108.39,788.37,98.83
105.07,215.94,781.41,112.43,112.19,104.30,105.29,680.04,96.48
102.71,221.18,535.64,113.79,114.57,105.63,103.90,906.72,99.10
111.98,217.57,531.09,113.78,112.80,105.87,103.78,606.19,98.94
104.62,215.37,535.90,124.50,112.57,105.55,104.75,564.35,99.89
110.22,215.45,534.86,121.92,328.95,105.56,104.98,1449.64,95.74
102.46,218.90,533.40,122.53,116.44,104.26,102.73,793.19,99.71
108.03,222.30,529.28,122.95,112.15,104.08,104.15,846.00,95.89
103.83,216.64,849.14,123.09,112.84,105.90,105.37,886.86,345.86
109.38,217.94,542.94,122.34,113.09,346.92,110.50,674.97,100.62
104.80,214.86,533.85,123.14,113.34,108.46,106.14,680.43,96.17
109.02,223.34,541.86,128.34,113.38,105.26,106.07,722.51,96.00
