mac_1,mac_2,mac_3,mac_4,mac_5,mac_6,mac_7,mac_8,mac_9
18496.10,19342.30,18390.40,18435.60,18517.00,19080.40,18595.10,91.00,18449.20
18486.90,18450.80,18381.80,18522.70,18496.60,18989.60,18470.00,90.70,18414.80
18448.20,18628.20,18332.40,18459.70,18499.00,18546.20,29950.80,90.40,18424.60
18438.80,18643.60,18312.20,19298.40,18540.80,18479.40,26277.30,101.20,18419.80
18505.80,18579.80,18423.00,18824.60,18414.70,18468.80,18548.10,93.80,18421.90
18668.30,18609.70,18560.40,18679.60,18361.70,18574.70,18466.20,90.80,18639.20
18568.70,18452.90,18951.00,18624.60,20544.70,18473.40,18464.70,90.40,18622.40
19458.50,18455.40,19018.90,18483.10,18447.50,18779.50,18835.90,90.50,18477.70
18736.20,18593.40,18513.40,18592.80,18415.50,18514.50,18836.60,91.30,18405.20
18422.30,18617.50,18408.20,18525.80,18376.00,18468.90,18448.90,90.80,18429.90
18426.40,19368.20,18382.40,18432.60,18383.00,18467.70,18510.60,90.10,18425.90
18421.10,18665.90,18448.50,18430.80,18404.20,18567.10,18509.30,90.00,18384.00
18366.60,18570.50,18423.60,18399.90,18379.60,18626.50,18551.40,91.10,18372.60
18561.60,18725.70,18754.80,18430.00,18455.50,18611.80,18484.30,89.70,18403.50
18523.60,18538.50,18822.70,18359.20,18375.60,18485.80,18487.20,104.50,18357.40
18447.30,18378.70,18623.70,18682.10,18500.70,18447.80,19378.40,92.10,18361.60
18631.60,18397.60,18528.10,18595.00,18413.60,18509.10,18645.00,91.20,18368.80
18433.30,18375.50,18444.30,18438.20,18389.60,18507.90,18562.50,90.80,18424.90
18434.70,18381.70,18595.50,18412.20,18372.40,18513.20,18605.50,90.30,18414.90
18430.90,18399.30,18659.10,18414.70,18425.40,18497.20,18614.60,89.90,18524.60
18402.10,18512.40,18515.20,18556.00,18435.30,18483.20,18566.00,90.60,18385.20
18449.90,18590.30,18563.20,18479.80,18435.60,18514.00,18753.60,90.80,18379.00
18444.90,18615.60,18489.40,18514.20,18586.70,18971.60,18579.50,90.50,18378.70
18782.70,18563.90,18517.30,18459.70,18997.80,19011.90,18567.60,90.10,18366.20
18783.60,18564.30,18462.90,18453.90,18795.80,18558.90,18585.70,91.10,18346.70
18698.60,18460.50,18546.40,19490.90,19035.00,18593.50,18616.60,104.40,18932.60
18677.40,18507.40,18445.00,21827.30,18666.40,18603.70,18594.70,91.60,18674.30
18791.90,18686.20,18393.90,18498.70,18395.60,19375.00,18568.30,90.00,18635.70
18627.40,19409.50,18559.80,18632.40,18874.60,18745.80,19056.20,90.50,18461.00
18499.60,18605.40,18532.00,19439.20,18931.60,18464.70,18660.00,89.10,18480.40
18452.80,18459.40,18485.00,22271.60,18859.20,19221.60,18668.40,89.60,18715.30
18438.40,18519.30,18413.60,18630.30,18389.70,18594.10,18486.90,90.10,18854.60
18519.20,18495.20,18526.00,18535.00,18353.20,18449.90,18481.70,90.70,18694.80
18452.20,18610.30,18433.20,18467.30,18420.30,18479.70,18492.40,89.70,18432.20
18476.10,18638.90,18409.70,18644.80,19645.20,18459.40,18487.10,90.30,18664.60
18525.10,18842.70,18348.30,18557.90,18462.00,18469.70,18474.00,89.90,18532.70
18423.30,18614.00,18351.90,18463.40,18382.40,18494.90,18493.10,104.90,18596.30
18454.80,18506.50,18373.50,18465.20,18339.70,18482.90,18493.40,92.40,18445.90
18441.40,18617.00,18399.30,18475.50,18379.50,18441.90,18491.70,89.70,18569.50
18434.30,18422.20,18516.20,18464.30,18474.30,18445.20,18462.70,89.80,18424.30
18605.10,18523.80,18585.60,18472.10,18352.00,18428.90,18459.30,89.60,18412.50
18404.90,18438.50,18431.80,18432.10,18341.80,18536.40,18464.50,90.90,18402.70
18501.00,18561.60,18384.40,18663.20,18383.40,18438.50,18467.90,89.70,18385.70
18451.80,18556.00,18482.30,26275.50,18340.90,18420.10,18460.50,89.80,18410.80
18408.60,18540.40,18530.00,50394.90,18383.10,18453.20,18456.00,89.90,18401.40
18442.70,18603.50,18369.40,21143.10,18451.90,18443.10,18447.50,90.70,18401.90
18418.90,18606.90,18355.60,21752.30,18382.00,18443.60,18467.20,89.40,19878.80
18429.30,18498.90,18382.60,20202.30,18339.70,18441.80,18594.30,206.30,18599.10
18632.90,18520.30,18460.20,18403.80,18348.40,18410.60,18640.80,119.60,18404.00
18516.10,18526.90,18354.50,18442.50,18356.10,18450.70,18544.70,105.70,18378.70
18525.10,18551.70,18509.80,18448.30,18562.40,18423.50,18548.90,100.10,18777.20
18542.30,18415.50,18585.60,18393.20,18681.20,18394.30,18540.00,96.20,18639.30
18512.10,18662.20,18549.10,18385.20,18552.60,18463.00,18561.90,94.00,18456.60
18568.20,18579.00,18494.70,18385.20,18466.90,18736.50,18462.80,93.30,18387.80
18481.40,18662.30,18521.70,18547.70,18383.10,18618.10,18439.90,91.70,18450.20
18455.50,18684.80,18442.40,18631.20,18502.80,18507.00,18433.20,91.10,18879.70
18458.50,18569.30,18647.70,18454.10,18453.60,18505.70,19376.30,97.70,18682.80
18429.40,18473.90,18564.20,18419.00,18411.10,18470.90,18422.20,92.70,18584.50
18592.50,18420.60,18759.30,18487.60,18524.20,18487.90,18490.20,91.00,18575.60
18629.50,18370.80,18571.50,19061.80,18544.90,18443.20,18502.60,90.60,18502.70
18593.10,18409.90,18401.50,18906.10,18432.40,18864.40,18439.50,90.30,18481.40
18598.60,18593.50,18399.80,18599.40,18523.00,18559.60,18627.00,91.80,18547.80
18571.60,18424.10,18388.50,18611.90,18423.90,18742.00,18665.90,89.90,18549.70
18698.50,18380.10,18388.50,18538.20,18341.30,18524.00,18621.70,90.80,18500.70
18644.70,18412.60,18419.80,18569.10,18377.20,18424.30,18630.50,90.50,18748.00
18536.30,18417.30,18459.50,18577.70,18382.20,18452.20,18521.10,126.60,18463.00
18490.20,18466.80,18551.10,18487.10,18361.00,18495.90,18474.70,103.20,18589.10
18472.00,18454.00,18568.10,18466.40,18378.20,20365.60,18917.20,93.80,18422.10
18472.60,18389.20,18571.00,18454.00,18326.60,22713.20,18702.90,92.00,18446.50
18638.90,18366.90,18449.60,18449.50,18361.70,18416.50,18566.20,92.70,18405.80
18525.40,18370.10,18447.80,18472.00,18445.30,18423.50,18481.70,91.50,18414.50
18497.10,18376.20,18484.10,18454.10,18374.20,18421.40,18491.60,91.00,18406.40
18431.10,18380.90,18465.70,18444.50,18362.70,18435.70,18476.70,90.80,18443.50
18766.20,18489.40,19511.00,18457.00,18599.60,18425.90,18509.20,91.00,18594.20
18483.90,18501.30,18432.60,18699.00,18493.10,18456.40,18511.10,90.40,18522.20
18419.10,18470.80,18524.80,18572.40,18434.60,18422.90,18485.60,90.80,18487.30
18436.20,18650.60,18732.40,18488.50,18446.70,18805.70,18576.30,91.40,18383.10
18433.40,18482.00,18403.60,18595.60,18548.20,18757.90,18476.70,96.10,18420.30
18551.20,18438.20,18471.00,18562.00,18402.90,18598.90,18486.90,92.10,18426.90
18673.40,18427.20,18394.70,18434.10,18554.00,18591.20,18449.30,91.10,18550.60
18562.30,18399.70,18484.90,18458.90,30538.30,19470.00,18473.40,90.80,18723.10
18546.80,18417.00,18532.60,18442.90,25759.90,18602.90,18475.70,92.40,21028.10
18492.80,18376.00,19005.70,18454.60,18458.60,18606.20,18592.50,90.80,18810.60
18511.50,18389.40,18753.70,18609.00,18751.70,18572.70,18484.60,90.40,18645.80
18498.10,18524.20,18610.80,18589.20,18498.20,18635.80,18578.20,90.90,18436.60
18506.30,18483.20,18512.10,18532.20,18743.20,18736.90,18464.70,91.70,18450.80
18474.40,18479.90,18433.30,18699.30,18903.20,18636.60,18462.00,90.50,18442.70
18503.60,18563.00,18434.10,18454.00,18694.60,18693.40,18450.10,90.20,18674.60
18459.80,18408.90,18545.40,18453.20,18506.00,18582.20,18610.50,94.20,18582.70
18449.60,18411.00,18638.20,18408.50,18577.20,18816.90,18446.40,92.40,18578.30
18426.50,18683.70,18595.30,18449.20,18549.10,18723.70,18433.60,284.90,18685.30
18595.90,18433.60,18522.70,18463.80,18360.00,18528.60,18796.10,99.00,18500.90
18633.00,18416.00,18530.90,18449.00,18397.30,18597.50,18725.40,92.40,18616.90
18565.70,18420.50,18513.50,18438.80,18428.50,18567.70,18638.20,93.00,18625.80
18576.30,18397.90,18563.60,18609.00,22199.10,18555.60,18499.60,90.90,18645.60
18572.80,18435.80,18431.80,18562.60,18555.20,18712.00,18493.60,90.80,18563.00
18562.80,18404.90,18447.70,18636.30,18685.20,18545.30,18499.80,90.90,18552.00
18574.10,18400.40,18401.80,18618.40,18471.50,18481.60,18566.20,96.40,18586.60
18574.60,18481.40,18497.60,18470.00,18483.20,18439.10,18570.00,91.30,18585.90
18571.50,18602.60,18450.50,18519.80,18424.50,18430.20,18710.50,91.20,18461.40
18551.60,21189.90,19424.30,18450.30,18410.90,18455.40,18478.50,90.60,18634.80
18913.70,18658.40,18555.90,18571.80,18365.00,18440.30,18569.30,92.10,18510.40
18714.80,18502.80,18438.10,18525.90,18375.90,18507.10,18567.20,90.80,18466.30
18522.90,18386.30,18528.30,18428.60,18397.40,18503.60,18542.60,91.20,18536.70
18504.60,18389.80,18582.40,18797.50,18413.10,18454.40,18568.50,90.60,18609.30
18449.00,18458.60,18521.10,18605.70,18387.60,18477.10,18518.30,91.50,18573.00
