mac_1,mac_2,mac_3,mac_4,mac_5,mac_6,mac_7,mac_8,mac_9
193.47,448.63,908.60,181.76,183.10,193.20,181.33,760.17,177.17
193.13,445.83,805.92,187.28,181.79,183.03,185.41,762.06,175.64
193.81,445.55,797.87,182.30,182.20,181.46,180.96,790.38,183.97
199.55,543.20,799.08,184.88,187.39,183.34,180.92,860.18,176.48
194.30,451.75,816.81,182.46,183.26,184.18,185.06,832.27,178.40
193.82,455.24,902.24,180.67,183.64,287.02,187.51,796.49,176.88
194.20,450.02,801.42,185.01,181.05,186.91,182.03,833.62,176.29
194.15,450.88,794.61,182.07,182.15,183.19,181.72,840.75,176.57
197.69,447.09,794.41,183.33,187.22,182.72,181.37,832.75,289.36
195.04,451.18,804.63,186.58,198.87,183.54,285.08,955.83,176.19
194.41,445.40,999.03,182.01,183.72,187.16,186.54,925.54,175.07
195.84,537.05,796.87,182.64,183.48,188.91,181.47,855.45,174.55
196.87,452.69,799.58,185.64,186.73,182.46,184.75,849.33,174.87
302.92,454.98,798.51,180.53,184.69,181.43,180.83,863.55,179.16
197.64,448.52,800.89,186.40,295.14,182.03,183.19,847.36,174.74
194.90,453.07,905.64,185.07,186.48,185.49,180.85,766.98,180.46
193.77,447.55,797.33,181.46,183.35,182.93,180.75,907.36,174.99
193.78,448.71,794.74,186.12,182.70,182.29,181.11,881.16,174.50
198.29,453.87,803.94,183.76,189.61,181.91,180.25,839.23,179.69
194.78,449.71,893.18,183.38,190.08,181.30,181.66,821.54,177.46
193.56,538.05,805.31,286.60,183.70,181.58,184.07,826.15,175.77
192.96,448.51,800.55,183.12,181.71,192.39,181.01,787.86,176.15
192.99,452.69,797.79,183.08,181.97,296.51,180.23,848.10,175.55
198.04,450.87,802.21,181.93,182.03,188.46,181.09,1522.73,176.36
193.72,453.79,899.85,197.86,186.24,182.85,180.13,801.38,182.22
194.52,451.02,950.28,192.85,183.58,182.31,182.98,836.83,177.90
193.35,455.35,800.23,191.42,183.16,295.34,184.67,874.69,181.20
194.49,450.21,804.93,190.76,182.11,185.10,179.84,777.03,177.50
197.94,447.35,808.34,191.84,181.20,185.42,185.53,778.78,175.86
193.96,538.22,905.84,188.10,180.83,182.39,181.29,881.91,173.27
193.77,447.05,803.17,185.99,191.70,184.16,181.22,909.59,285.59
196.37,452.72,797.93,181.08,182.44,187.17,291.01,846.92,180.17
194.30,446.67,796.49,181.66,181.76,186.21,185.29,778.35,175.04
301.33,450.35,811.85,181.58,181.35,181.66,182.01,818.28,175.57
197.33,446.94,899.70,180.46,182.65,181.20,181.36,836.72,176.17
193.35,454.02,802.80,185.38,292.45,181.36,183.08,844.85,180.10
194.04,446.55,799.89,182.93,187.55,184.49,186.52,776.55,175.44
193.63,548.08,796.85,183.99,181.95,183.36,182.08,787.57,176.31
197.86,451.85,801.74,186.43,183.04,181.14,180.54,880.31,174.83
194.03,460.69,902.99,182.13,184.47,181.85,184.27,857.28,177.29
193.56,447.45,796.89,184.21,189.85,180.27,180.79,850.13,180.63
194.44,446.25,796.69,292.67,183.32,184.29,184.69,786.77,176.95
193.17,449.84,799.55,182.27,182.45,188.33,181.87,820.56,175.85
196.80,446.11,793.87,185.95,182.17,182.36,182.41,922.30,174.30
193.87,454.71,892.31,180.58,182.05,185.35,181.80,928.62,175.06
194.56,447.04,794.83,183.82,185.02,181.84,181.93,1455.46,175.71
195.43,543.76,795.19,183.35,185.17,181.30,181.25,804.37,179.69
193.56,446.94,799.31,180.62,182.24,288.91,185.25,873.77,177.26
197.84,451.08,797.84,180.31,183.42,188.51,179.23,814.75,175.04
194.75,451.27,898.20,181.30,185.33,182.02,180.67,788.13,177.93
192.84,451.98,796.49,181.41,187.77,182.44,186.16,773.77,175.45
192.67,451.22,796.49,184.84,189.69,182.64,184.06,784.89,175.23
192.77,454.62,801.94,182.39,183.99,187.59,396.44,774.57,284.09
300.98,446.88,897.21,180.78,189.71,182.32,199.05,1329.37,176.16
198.39,446.28,806.86,180.81,187.28,181.87,187.49,784.59,175.45
193.49,543.95,806.54,181.60,185.96,182.47,181.44,1334.59,175.03
193.36,444.44,804.49,184.37,296.73,181.11,187.29,779.37,175.74
193.43,457.64,802.90,184.67,192.13,185.87,181.41,785.75,179.60
196.71,451.22,904.30,182.97,188.26,183.86,182.44,936.29,176.28
194.47,455.16,804.81,181.99,184.93,185.89,181.59,991.83,180.08
193.30,451.72,801.02,186.17,183.30,181.16,181.19,886.42,174.47
193.51,450.68,801.83,182.05,193.07,180.87,180.30,868.09,173.95
194.48,445.08,798.99,288.67,183.89,182.79,184.35,868.27,177.06
196.47,538.34,906.06,183.55,181.13,188.18,182.19,845.88,175.73
192.73,448.20,801.37,181.73,181.91,182.46,180.13,843.24,179.16
196.71,451.78,801.00,188.15,183.71,181.74,180.72,845.52,174.57
193.20,447.96,790.94,183.55,185.61,183.24,180.59,763.68,175.64
193.07,444.83,805.48,185.88,182.34,181.71,183.60,1355.43,174.47
197.77,450.67,912.47,181.41,182.20,189.08,187.18,796.39,178.65
200.51,451.12,814.55,181.87,182.10,187.81,180.33,1397.14,177.56
195.63,455.41,807.54,180.88,182.24,182.32,185.01,832.45,175.88
