n,overlap,original,original_std,original_min,original_max,compose,compose_std,compose_min,compose_max,linq,linq_std,linq_min,linq_max,hashset,hashset_std,hashset_min,hashset_max,frozenset,frozenset_std,frozenset_min,frozenset_max,par_std,par_std_std,par_std_min,par_std_max,par_hashset,par_hashset_std,par_hashset_min,par_hashset_max,par_std_partition,par_std_partition_std,par_std_partition_min,par_std_partition_max,par_hashset_partition,par_hashset_partition_std,par_hashset_partition_min,par_hashset_partition_max
4000,80,31103.92,261.28,30832.08,31542.71,31585.10,409.16,30997.29,32277.25,353.44,21.12,345.13,539.75,287.51,18.73,277.08,457.38,1936.20,63.23,1879.08,2237.63,402.91,185.71,225.88,1096.17,297.12,57.52,247.00,665.50,394.56,168.72,218.88,994.25,285.91,45.60,258.75,620.29
5000,80,48618.62,452.53,48171.17,49502.25,48615.19,271.79,48384.17,49170.17,510.17,260.17,436.88,2696.58,469.73,411.05,346.92,2551.21,2412.27,422.05,2212.71,4613.63,495.73,196.09,274.29,1218.75,391.95,89.25,311.21,877.29,472.70,209.14,262.46,1205.46,370.63,92.32,323.83,929.96
6000,80,70006.85,824.88,69213.63,71485.04,70108.05,644.91,69312.83,71443.04,622.67,308.05,532.33,2915.46,468.12,69.82,421.75,822.92,2560.95,188.00,2415.92,3156.79,523.14,198.89,312.88,1206.96,472.75,111.38,384.54,1081.92,532.71,207.43,309.83,1217.33,437.23,100.32,384.42,1023.71
7000,80,94927.90,665.70,94177.71,96384.96,95295.84,724.78,94511.33,97023.21,691.84,88.59,632.29,1242.29,684.93,531.34,515.50,3221.50,2969.76,179.73,2792.13,3485.96,630.39,230.35,366.33,1440.71,540.80,113.17,470.67,1156.13,614.35,232.07,355.58,1474.29,525.46,109.21,460.21,1141.33
8000,80,129360.74,11916.37,124116.33,163085.71,124547.95,735.25,123528.08,125818.17,852.83,395.04,729.38,3409.75,796.32,580.29,587.54,3299.58,3411.56,477.03,2992.08,4686.33,683.46,238.36,426.88,1584.17,613.07,126.61,527.83,1244.00,667.23,225.92,398.75,1365.00,604.03,119.26,527.42,1202.46
9000,80,157645.61,1455.61,156216.75,160037.88,159900.60,8451.60,156190.92,183830.88,901.10,105.41,817.79,1353.25,729.19,98.38,649.00,1162.13,3542.11,301.08,3281.54,4435.21,738.86,240.31,468.92,1559.63,687.07,135.58,598.96,1296.17,726.08,251.77,442.50,1516.42,701.16,167.33,588.21,1769.54
10000,80,194308.78,1453.07,192651.96,197401.88,194914.42,977.23,193349.29,196429.67,1110.16,493.95,923.75,4053.96,826.78,105.74,741.29,1247.88,3909.96,340.03,3602.38,4915.79,817.53,255.52,523.00,1532.00,761.47,143.40,669.54,1394.88,837.30,316.11,491.67,1807.67,780.15,181.38,662.29,2109.33
20000,80,776878.32,3000.85,770876.75,781509.04,776073.78,2045.27,773228.42,779253.50,2126.32,295.41,1907.71,3364.08,1738.74,230.98,1546.17,2687.17,7160.13,339.54,6661.71,8088.42,1855.85,611.94,1016.58,3913.29,1666.21,401.63,1308.13,3612.04,1757.59,589.57,948.17,4172.04,1636.01,403.62,1313.92,3382.92
30000,80,1784329.59,14835.38,1766895.71,1813439.96,1768032.88,5125.61,1762616.88,1779866.67,3498.10,915.33,2921.17,7629.25,2697.17,321.83,2366.29,3597.13,43765.11,2168.91,41764.67,51629.75,2572.42,781.82,1448.13,5792.79,2778.59,1202.12,1952.21,7611.79,2754.11,879.17,1409.96,7491.21,2579.71,692.54,1973.29,4628.96
10,90,0.35,0.04,0.33,0.46,0.35,0.07,0.29,0.54,0.85,0.06,0.79,1.08,0.59,0.05,0.54,0.75,1.15,0.08,1.04,1.42,47.37,12.32,29.79,171.75,10.48,3.91,4.50,26.96,38.28,15.26,19.71,264.83,10.87,3.68,4.96,26.46
