n,overlap,original,original_std,original_min,original_max,compose,compose_std,compose_min,compose_max,linq,linq_std,linq_min,linq_max,hashset,hashset_std,hashset_min,hashset_max,frozenset,frozenset_std,frozenset_min,frozenset_max,par_std,par_std_std,par_std_min,par_std_max,par_hashset,par_hashset_std,par_hashset_min,par_hashset_max,par_std_partition,par_std_partition_std,par_std_partition_min,par_std_partition_max,par_hashset_partition,par_hashset_partition_std,par_hashset_partition_min,par_hashset_partition_max
70,70,19.13,0.22,19.00,19.70,18.54,0.22,18.40,19.00,5.25,0.25,5.00,5.90,4.73,0.24,4.50,5.30,32.62,2.00,31.30,50.80,47.44,67.93,20.20,405.50,14.45,3.03,8.80,24.50,47.44,68.51,21.20,433.40,15.82,2.89,9.10,23.80
80,70,25.47,1.87,24.60,30.70,25.40,0.18,25.30,25.90,6.08,0.64,5.60,11.10,5.38,0.35,5.00,6.30,36.27,2.46,34.90,58.10,50.24,70.89,21.70,473.80,15.24,2.52,9.50,27.10,50.38,69.25,22.20,438.10,16.07,2.56,9.90,24.40
90,70,32.74,0.18,32.60,33.20,32.74,0.21,32.60,33.30,6.74,0.31,6.40,9.90,5.96,0.28,5.60,6.80,33.19,1.05,32.30,38.60,53.52,72.90,22.40,388.30,12.90,2.38,10.10,27.60,51.01,70.71,22.60,392.00,16.09,2.08,10.40,24.90
100,70,37.20,0.32,36.90,37.80,37.14,0.22,37.00,37.60,7.45,0.29,7.00,9.20,6.76,0.34,6.30,10.30,40.05,1.00,39.20,45.90,56.74,77.46,24.40,423.40,14.52,2.60,10.50,25.30,54.86,74.32,24.20,424.40,16.86,1.28,11.50,22.50
200,70,146.25,1.43,145.40,150.20,148.49,3.81,146.60,158.80,14.33,0.44,14.00,18.60,13.04,0.28,12.70,16.70,61.46,2.16,59.90,89.80,78.78,91.79,32.60,500.80,23.49,5.03,16.60,47.60,66.93,83.61,31.30,471.50,23.17,4.68,16.70,37.30
300,70,328.82,1.78,327.30,331.90,334.05,1.32,332.70,336.20,21.65,0.62,21.10,26.30,19.73,0.55,19.20,23.90,89.33,4.42,87.10,167.20,91.05,97.10,40.00,581.90,53.06,11.49,23.40,171.40,78.88,93.27,37.80,536.60,29.50,7.42,22.70,57.70
400,70,596.08,6.35,591.90,613.40,601.58,4.92,598.20,615.00,29.49,0.76,28.90,35.40,27.54,3.77,26.40,86.10,128.12,8.53,125.10,218.70,93.49,92.13,44.50,513.50,68.72,10.70,52.20,200.60,88.20,92.20,44.70,503.30,37.15,8.11,29.50,154.90
500,70,902.23,2.45,898.10,906.70,903.29,20.20,877.60,950.10,37.37,1.02,36.40,46.60,34.70,3.32,33.30,53.70,170.85,10.51,166.50,278.00,114.05,97.93,50.30,565.80,85.25,11.72,71.60,223.10,94.39,94.23,50.40,516.30,45.13,8.83,37.60,164.90
600,70,1324.74,1.03,1323.70,1326.60,1332.51,7.57,1326.40,1352.70,43.94,0.83,43.00,53.40,40.73,2.51,39.80,92.30,242.83,13.16,237.00,358.20,126.99,99.45,54.90,574.70,82.51,10.18,74.00,186.30,106.07,90.64,55.90,521.20,53.73,5.91,45.10,99.90
700,70,1758.07,44.21,1733.70,1848.10,1746.25,10.38,1741.60,1775.30,51.82,6.43,49.90,148.40,47.36,4.25,45.90,92.50,763.52,23.15,748.30,895.70,154.46,106.08,62.70,616.90,86.10,9.27,78.20,186.60,121.78,100.38,62.60,572.80,63.83,8.16,55.80,108.60
800,70,2340.76,7.11,2335.10,2357.40,2313.28,38.79,2247.70,2341.50,58.90,1.35,57.60,74.70,54.81,2.56,53.40,99.30,829.74,27.36,813.20,979.50,198.42,106.93,71.60,687.30,96.04,12.34,84.20,214.00,165.59,102.88,70.60,624.90,69.82,9.97,65.70,200.80
900,70,2998.82,100.56,2922.40,3222.60,3078.85,412.04,2932.90,4251.00,67.83,6.31,65.50,149.00,62.00,1.89,60.70,94.50,878.03,29.24,861.60,1118.00,225.42,104.03,79.60,679.50,110.05,12.81,91.90,233.60,196.38,94.80,87.80,672.00,78.91,13.88,70.80,189.70
1000,70,3578.09,10.05,3570.00,3597.60,3579.90,19.16,3551.80,3612.70,76.95,12.63,72.50,160.30,69.37,7.67,67.10,154.20,948.52,35.75,930.30,1187.80,238.03,91.03,132.80,676.90,119.69,11.46,100.60,230.00,203.66,90.67,109.00,643.90,81.24,10.83,76.60,204.80
2000,70,14684.11,507.29,14331.70,16079.20,14232.02,568.59,14013.90,15845.80,153.44,9.20,150.20,247.50,142.83,9.66,139.70,243.70,1388.36,38.28,1364.90,1553.90,334.43,123.43,225.20,934.10,197.56,25.01,174.40,365.80,294.56,115.04,214.40,776.30,163.02,25.75,142.40,339.10
3000,70,35100.25,810.12,34271.20,36521.70,34311.62,172.10,34096.90,34741.30,241.46,16.33,235.70,359.40,225.49,15.85,220.00,339.30,1822.01,53.22,1788.10,2094.70,386.34,118.82,270.00,802.50,275.62,45.89,240.00,511.40,353.67,121.94,265.90,893.30,245.65,33.06,219.30,500.80
4000,70,63706.76,189.35,63462.00,64082.10,63036.64,1277.46,62301.20,66374.50,334.29,19.77,325.10,478.30,329.58,42.72,308.70,504.70,2528.98,91.76,2473.50,3390.50,464.67,174.37,326.90,1226.70,348.08,43.64,316.80,648.80,440.76,163.40,324.50,1065.00,332.80,49.06,301.10,657.50
5000,70,104673.02,4813.28,99873.40,115376.60,110383.65,5917.82,103608.20,120957.20,545.04,153.87,422.40,1406.00,455.55,114.13,409.10,1110.10,3278.59,406.93,3000.20,4770.80,575.78,182.23,383.40,1210.30,491.05,130.40,403.10,1221.00,550.16,178.72,389.30,1164.00,468.02,116.55,381.10,1073.20
6000,70,155300.24,5486.54,146079.90,162325.20,156059.14,7362.50,146387.20,170949.70,599.04,148.02,501.60,1222.90,558.59,123.27,479.50,1173.50,3509.53,281.75,3338.80,5202.50,564.92,179.86,417.10,1206.70,537.08,124.38,467.30,1258.10,566.62,172.79,430.50,1185.40,524.50,124.46,450.10,1191.10
7000,70,195628.86,1446.37,194178.40,198694.80,195953.49,935.32,193780.30,197305.70,657.86,99.89,600.90,1222.20,628.37,96.03,571.80,1193.20,4014.51,181.92,3836.10,4679.90,623.91,169.29,476.80,1244.30,642.56,136.65,549.00,1303.30,642.20,208.02,481.00,1430.10,598.68,123.92,524.20,1347.00
