n,overlap,original,original_std,original_min,original_max,compose,compose_std,compose_min,compose_max,linq,linq_std,linq_min,linq_max,hashset,hashset_std,hashset_min,hashset_max,frozenset,frozenset_std,frozenset_min,frozenset_max,par_std,par_std_std,par_std_min,par_std_max,par_hashset,par_hashset_std,par_hashset_min,par_hashset_max,par_std_partition,par_std_partition_std,par_std_partition_min,par_std_partition_max,par_hashset_partition,par_hashset_partition_std,par_hashset_partition_min,par_hashset_partition_max
5000,30,159411.20,169.76,159167.16,159672.81,157496.60,208.43,157273.23,157841.31,433.44,98.00,408.85,1133.52,397.34,93.11,377.38,1070.39,2881.09,206.13,2782.37,3634.47,2793.18,1842.78,1471.33,10961.85,510.48,171.85,425.24,1635.06,2144.45,1144.30,1401.89,5668.58,463.30,156.51,386.53,1501.97
6000,30,236058.65,7089.45,230034.73,245826.57,228260.98,656.08,227596.73,229982.56,512.29,109.25,475.15,1218.15,472.76,107.77,436.73,1161.53,3244.41,239.69,3070.00,4041.89,2810.66,1790.70,1498.24,10752.91,660.11,214.11,503.72,2443.40,2099.20,996.61,1419.25,5829.70,593.50,184.89,483.69,1728.88
7000,30,312460.11,636.83,311656.26,313369.26,311903.73,190.66,311616.04,312196.11,617.70,123.01,573.89,1389.02,571.13,122.27,529.63,1334.18,3702.24,235.24,3545.02,4429.80,2857.09,1677.13,1527.27,7121.37,704.39,226.64,557.18,2199.65,2350.98,1340.61,1431.69,5998.22,656.95,203.86,545.70,1876.07
8000,30,405975.76,490.82,405555.48,407033.92,406492.55,289.25,406278.23,407246.37,705.46,140.44,652.56,1482.93,650.80,139.20,602.95,1419.33,3962.45,319.74,3785.21,4749.20,3002.11,1782.80,1584.16,7251.58,749.70,258.45,629.83,2150.08,2378.01,1391.62,1409.52,6251.61,721.33,223.53,616.64,1988.88
9000,30,517601.08,2511.57,516197.15,524620.00,517928.90,560.49,516978.49,518965.89,800.02,166.01,736.89,1619.51,740.76,162.94,681.09,1542.56,4496.56,342.72,4243.71,5384.01,3018.03,1768.04,1595.89,7326.62,952.86,340.22,704.73,2834.58,2487.10,1489.01,1426.52,6287.46,859.55,263.65,751.11,2087.82
10000,30,643051.96,3571.67,640569.73,652612.20,629092.14,1247.88,627260.09,631272.14,909.42,181.31,825.06,1858.78,822.99,128.59,764.39,1464.80,4841.61,298.26,4631.01,5556.53,3080.78,1766.04,1653.19,7349.06,1041.23,364.28,779.01,3232.50,2430.58,1387.63,1449.00,6186.69,901.47,288.30,763.40,2266.50
20000,30,2958376.25,7564.36,2952282.20,2975995.92,2579395.94,3928.65,2574147.79,2587677.90,1916.66,312.15,1747.16,2963.82,1797.37,307.73,1635.83,2789.34,9338.64,259.55,8994.69,10439.28,3788.02,1860.07,2089.18,7939.51,2651.98,363.64,2313.81,3943.95,3203.04,1726.64,1666.33,7304.10,1766.04,322.31,1510.62,2921.63
30000,30,7519580.42,17161.00,7490169.45,7552278.29,5761818.10,5890.99,5755697.23,5776425.98,3379.13,502.27,3041.57,4728.08,3092.23,217.99,2907.69,3867.03,65408.05,913.29,64145.13,69677.80,4515.33,2272.41,2616.33,14944.44,3202.75,591.07,2439.71,5297.50,4529.00,2366.80,2033.95,15327.38,2975.85,480.21,2383.90,4888.78
10,40,1.01,0.24,0.92,1.70,0.93,0.01,0.92,0.96,0.99,0.18,0.93,2.03,0.85,0.19,0.79,1.83,1.96,0.39,1.74,4.41,1320.24,112.64,1125.85,2569.13,46.52,5.64,33.60,60.89,1315.04,70.07,1164.54,1853.03,37.02,5.40,25.32,51.04
20,40,5.58,0.02,5.55,5.62,5.57,0.01,5.56,5.59,3.25,0.54,2.98,5.35,2.68,0.52,2.45,4.80,5.82,0.82,5.10,7.61,1261.54,93.95,1100.96,2486.19,38.53,5.31,27.30,53.27,1325.10,190.49,1102.60,3091.17,40.25,5.39,28.93,55.07
30,40,11.60,0.60,11.36,13.31,11.45,0.01,11.44,11.48,4.74,0.56,4.42,6.59,3.97,0.57,3.69,5.75,31.93,6.86,20.66,39.02,1310.90,191.64,970.19,2656.38,33.89,6.38,21.56,56.55,1307.60,92.56,1164.15,2492.48,42.32,6.55,29.85,64.38
40,40,18.28,0.04,18.24,18.38,20.95,5.41,18.25,35.16,5.90,0.69,5.47,7.81,5.09,0.69,4.71,7.06,32.90,7.76,24.60,44.11,1312.39,126.01,1179.93,2809.56,41.59,6.36,27.46,60.69,1312.24,93.17,1196.56,2666.22,38.49,5.28,28.50,55.06
50,40,28.77,0.35,28.60,29.75,28.87,0.45,28.71,30.16,7.17,0.69,6.70,9.21,6.36,0.73,5.86,8.39,32.90,6.98,27.00,46.35,1322.56,133.08,1203.97,2819.73,52.07,6.96,36.38,67.41,1325.33,125.69,1205.91,2814.38,38.49,5.13,29.49,54.77
60,40,41.38,0.74,41.12,43.48,41.72,1.09,41.26,44.70,8.52,0.88,7.89,10.45,7.60,0.87,6.97,9.54,38.83,9.02,31.39,55.75,1325.00,153.81,1197.66,2976.61,49.10,7.11,34.25,68.43,1345.84,122.48,1184.76,2914.83,46.48,7.26,32.50,69.21
70,40,54.74,0.06,54.70,54.91,55.09,0.69,54.83,57.05,10.14,0.90,9.42,12.06,9.62,0.97,8.43,11.78,39.47,7.24,35.75,69.96,1343.08,184.07,1203.38,3130.02,50.52,6.43,34.39,67.68,1348.25,138.65,1211.40,2872.64,47.58,6.76,33.14,67.99
80,40,71.83,0.07,71.77,72.00,72.07,0.29,71.93,72.88,11.67,0.85,10.99,13.52,10.29,0.80,9.64,12.36,43.19,3.80,39.65,59.57,1367.13,198.01,1234.69,3122.48,50.61,6.59,36.58,70.92,1353.95,142.29,1224.09,2881.58,40.17,5.09,29.97,57.33
90,40,53.94,1.74,53.19,58.60,53.43,0.59,53.21,55.10,7.70,0.88,6.90,9.17,6.98,0.87,6.17,8.46,37.87,1.30,36.02,40.50,1371.09,209.46,1239.48,3160.00,43.63,5.43,32.00,62.39,1367.34,151.21,1226.09,2857.79,42.73,4.56,33.63,55.80
100,40,111.26,0.38,111.10,112.34,110.24,1.16,109.73,113.38,14.71,0.86,13.54,17.00,12.69,1.15,10.37,14.60,41.19,2.25,38.63,61.28,1384.42,243.74,1250.88,3375.97,54.82,6.10,40.85,71.54,1366.54,156.71,1226.57,2784.05,49.62,7.16,36.57,73.46
200,40,434.09,2.01,433.08,439.42,251.26,2.54,247.91,256.38,25.13,4.55,14.50,29.08,14.99,0.77,13.65,16.24,72.30,3.44,67.46,81.88,1445.59,363.02,1253.04,3733.33,51.62,4.88,41.01,69.72,1401.46,248.01,1250.67,3258.37,58.17,6.67,43.76,74.04
300,40,554.29,20.28,521.43,571.53,574.56,0.95,573.96,577.10,24.69,0.83,23.06,27.03,21.42,0.65,20.68,24.37,101.39,2.04,98.13,108.87,1505.37,458.03,1246.20,3842.73,60.17,5.84,45.05,80.21,1434.80,311.28,1246.03,3439.50,74.28,8.75,55.43,94.32
400,40,1017.24,7.82,1013.16,1039.23,1019.49,4.30,1017.26,1031.32,32.76,1.18,30.82,35.83,29.33,1.10,27.96,31.67,131.47,3.00,127.87,174.90,1563.59,548.61,1284.92,3950.03,68.53,5.67,60.54,95.06,1477.04,382.98,1262.19,3569.92,94.32,9.28,66.07,113.74
500,40,1598.48,7.33,1593.81,1619.02,1582.00,9.69,1569.97,1596.48,40.80,1.02,39.04,43.01,35.27,1.28,33.08,38.42,200.81,4.04,195.18,218.51,1628.03,686.21,1277.45,5519.98,106.37,10.05,92.08,135.33,1516.88,428.83,1288.35,3802.93,99.88,10.56,80.15,130.83
600,40,2282.04,6.58,2277.63,2300.11,2291.20,6.88,2285.77,2309.50,49.69,1.30,47.39,52.62,44.45,1.03,43.07,47.45,538.50,49.85,499.26,823.29,1692.13,721.96,1307.99,4481.95,120.55,11.09,100.84,145.81,1546.99,471.13,1304.25,3963.65,105.59,13.85,73.84,142.44
700,40,3121.64,1.72,3119.20,3124.83,2976.91,61.65,2929.25,3121.62,56.14,1.99,53.19,60.64,47.68,1.32,46.32,53.47,740.45,11.49,722.96,781.62,1745.59,835.26,1301.08,6354.51,139.59,7.31,124.08,163.60,1553.35,488.68,1286.38,4030.07,115.98,18.84,79.83,163.37
800,40,4028.47,0.95,4026.90,4029.80,4035.89,0.70,4034.88,4037.31,65.66,1.51,62.85,69.72,57.53,0.50,56.74,60.40,867.24,4.27,859.86,893.38,1771.19,854.61,1297.69,4715.95,142.45,8.43,128.09,175.75,1570.83,527.41,1281.76,4214.40,132.51,19.53,90.71,183.26
900,40,5115.79,6.95,5110.11,5135.03,5126.79,1.74,5124.80,5130.35,75.40,1.76,72.61,79.79,67.96,1.11,66.76,72.28,914.72,6.03,906.64,946.62,1821.62,894.58,1300.25,4912.64,160.89,10.15,136.15,191.31,1584.55,529.75,1305.34,3972.60,135.48,17.00,96.97,177.33
1000,40,6332.91,1.45,6330.69,6335.03,6341.70,1.64,6339.73,6345.02,82.05,1.83,79.12,87.28,73.05,0.62,72.12,77.01,970.15,9.43,922.95,1098.50,1893.85,995.75,1328.23,5085.33,151.91,31.86,100.83,195.01,1610.91,587.79,1292.52,4248.76,142.79,21.45,99.27,190.28
2000,40,25169.09,4.24,25162.45,25174.97,24612.51,711.36,23529.25,25178.04,163.24,3.18,160.00,173.97,140.57,2.19,138.28,150.30,1373.94,43.40,1327.01,1765.11,2386.83,1484.69,1363.90,6170.62,287.20,7.72,272.45,333.29,1828.89,835.09,1337.24,5025.07,223.45,42.92,182.17,360.35
3000,40,54319.09,1417.47,53328.89,57135.75,55778.69,1546.26,53648.27,57135.05,236.82,6.11,230.48,260.72,219.33,5.24,212.61,253.92,1702.65,47.05,1671.20,2107.75,2556.26,1588.67,1401.86,6492.35,323.69,62.02,275.27,485.93,1939.84,944.83,1339.43,5210.70,315.18,41.15,263.50,415.31
