n,overlap,original,original_std,original_min,original_max,compose,compose_std,compose_min,compose_max,linq,linq_std,linq_min,linq_max,hashset,hashset_std,hashset_min,hashset_max,frozenset,frozenset_std,frozenset_min,frozenset_max,par_std,par_std_std,par_std_min,par_std_max,par_hashset,par_hashset_std,par_hashset_min,par_hashset_max,par_std_partition,par_std_partition_std,par_std_partition_min,par_std_partition_max,par_hashset_partition,par_hashset_partition_std,par_hashset_partition_min,par_hashset_partition_max
700,20,1424.03,68.82,1381.43,1554.24,1518.91,37.92,1463.35,1588.05,31.35,1.29,28.98,35.28,27.61,1.46,24.89,32.36,460.03,15.51,443.33,514.80,482.18,205.69,350.70,1369.41,30.31,1.59,28.36,45.46,433.52,114.63,349.65,1046.22,57.12,6.13,41.00,75.52
800,20,1894.42,100.40,1781.58,2036.80,1831.46,30.56,1796.70,1903.52,34.30,1.41,32.49,38.97,29.87,0.95,28.02,32.96,507.69,22.26,480.11,607.49,487.98,200.31,355.84,1393.24,40.49,10.86,31.53,65.92,438.22,123.76,348.34,1191.43,55.08,5.23,45.28,73.03
900,20,2312.94,66.01,2248.89,2469.22,2265.15,9.63,2252.22,2289.87,38.20,1.48,36.40,42.77,33.79,1.48,31.52,37.38,532.32,12.02,516.95,596.99,492.39,222.49,359.87,1418.25,62.32,11.88,49.65,156.51,442.33,129.66,355.84,1165.18,58.38,4.35,49.08,73.93
1000,20,2824.85,52.04,2780.08,2949.02,2934.21,99.98,2813.46,3075.93,44.99,2.00,40.72,49.49,39.20,1.51,36.44,42.59,605.91,42.72,567.89,869.18,514.11,260.28,366.00,1568.62,70.08,8.03,59.16,167.77,450.66,147.80,357.14,1170.80,62.58,3.75,50.50,79.37
2000,20,11102.46,56.99,11031.96,11231.63,11179.90,91.57,11088.51,11341.42,91.00,4.53,86.82,102.81,81.60,2.35,78.88,89.65,846.75,32.06,812.68,974.89,541.29,293.25,362.86,1770.77,114.67,19.66,102.61,324.94,485.33,191.83,360.04,1338.28,104.64,9.14,93.71,171.21
3000,20,26868.97,253.28,26431.48,27130.54,24940.85,93.80,24812.02,25120.44,143.30,5.49,137.43,157.08,129.93,4.76,125.28,143.87,1041.02,33.35,1003.51,1158.99,533.44,248.66,379.59,1483.86,148.47,19.53,132.39,346.06,482.62,187.00,352.14,1546.15,139.42,6.19,128.05,175.04
4000,20,48291.10,734.14,47284.89,49605.66,48647.52,868.57,47790.65,50452.50,199.74,10.06,188.24,248.99,179.99,5.12,175.02,198.72,1576.22,55.87,1527.54,1797.20,576.53,292.58,388.97,1595.09,185.68,7.84,173.08,261.77,499.56,214.15,357.12,1387.83,184.84,9.46,166.52,302.36
5000,20,74688.62,812.61,73840.46,76600.80,75846.01,1263.09,73952.07,77878.74,272.72,47.20,253.84,621.31,257.44,48.37,238.11,614.77,1922.26,118.81,1810.43,2361.39,594.11,308.32,403.43,2073.91,250.55,88.49,210.39,884.07,501.17,214.48,299.77,1380.92,245.39,80.20,204.58,828.76
6000,20,108614.42,1398.54,106287.21,110259.92,107490.78,756.72,106357.99,109003.26,323.71,55.16,287.49,689.27,300.85,53.91,270.56,652.86,2082.54,137.51,1953.96,2580.24,589.98,280.89,411.18,1646.99,293.22,101.58,245.57,955.89,516.98,254.82,320.11,1539.36,284.87,94.76,238.34,903.64
7000,20,147532.71,807.87,146449.26,148892.25,147176.88,1376.69,146172.24,149960.69,395.58,64.60,360.77,789.71,374.03,61.00,339.73,758.22,2418.64,138.21,2287.64,2919.46,603.35,279.08,423.44,1619.32,352.90,125.33,293.45,1094.85,524.38,253.74,301.14,1436.18,347.02,117.53,289.92,1129.06
